,F0_01-0_1,F0_1-0_2,F0_2-0_5,F0_5-1,F1-2,F2-4,F4-8,F8-16,F16-25,F25-35,F35-50,F50-63,F63-75,F75-88,F88-105,F105-125,F125-150,F150-177,F177-210,F210-250,F250-300,F300-354,F354-420,F420-500,F500-600,F600-707,F707-850,F850-1000,F1000-1190,F1190-1410,F1410-1680,F1680-2000,Kf,logK,porosity,litho_measured,soil_class,litho_main,K_Barr,K_AlyamaniSen,K_Shepherd,K_VanBaaren,K_Bear_KozenyCarman
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094276,0.143119,0.220382,0.401984,0.607591,0.96246,1.276311,1.801062,2.412075,3.365264,4.182274,5.853192,7.904719,10.694938,11.946589,15.526239,13.926914,12.572993,5.557405,0.550212,0.0,18.0,1.255272505103306,,Z,zs1,Z,0.059900050917457086,0.05303576341108977,0.08929233292297203,0.08700113231169683,0.08124260332130244
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083534,0.103614,0.103487,0.159513,0.259573,0.422864,0.543103,0.706989,0.850104,1.394632,2.702144,5.45636,8.925982,12.324952,12.767317,15.669886,14.551066,13.937641,8.391064,0.646176,0.0,33.0,1.5185139398778875,,Z,zs1,Z,0.1389092314317861,0.14119131057114975,0.09910709851652749,0.11020078559956853,0.1884029715171849
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020621,0.103532,0.145037,0.303451,0.506354,0.824258,1.30914,2.500732,4.345634,7.624265,11.330152,14.668359,14.270734,15.877943,12.593292,10.277571,3.093044,0.205881,0.0,23.0,1.3617278360175928,,Z,zs1,Z,0.12080923492115088,0.12437291423015291,0.08010438185390717,0.11433643944054572,0.1638538966147805
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007531,0.114704,0.280455,0.545048,0.869218,1.41276,1.867579,2.646413,3.618696,5.054354,5.852329,7.038386,7.72555,8.581057,8.679444,11.339219,11.167752,11.460817,8.196489,3.475785,0.066413,14.0,1.146128035678238,,Z,zs1,Z,0.03590880824773047,0.02954158589392668,0.0814729697816399,0.14482083217780467,0.04870321509795018
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012113,0.164966,0.311676,0.627173,1.018482,1.573464,1.932758,2.627034,3.560123,4.935064,5.626836,6.693803,7.309603,7.999482,7.866998,10.17078,10.42571,11.633753,9.442033,5.09017,0.977978,24.0,1.380211241711606,,Z,zs1,Z,0.03200324653986607,0.024758375488779672,0.08618044409708195,0.13354964119877122,0.04340609104347923
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026515,0.151272,0.310481,0.558065,0.784842,1.169615,1.648485,2.32997,2.722246,3.42265,4.299622,6.277201,8.822908,15.396028,18.143696,19.488218,13.01327,1.434916,0.0,28.0,1.4471580313422192,,Z,zs1,Z,0.10331364163049069,0.0905495982623488,0.13017709829656116,0.1834976407991164,0.14012457545706342
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018985,0.113389,0.265496,0.436213,0.685025,0.911034,1.346532,1.872356,2.574096,2.97137,3.768754,4.668033,6.068147,7.150266,11.287353,13.837004,17.452339,14.944707,8.32808,1.300823,30.0,1.4771212547196624,,Z,zs1,Z,0.07679712437058273,0.06069864451422434,0.14142573283909957,0.15673971730074485,0.10416015038207002
37,0.0,0.0,0.0,0.0,0.0,0.195931,0.479376,0.26943,0.461848,0.489974,1.159039,1.757119,2.588258,3.841573,6.058107,7.439112,8.345015,7.178084,6.476699,5.778922,6.141341,6.195283,6.489233,5.889949,5.275891,4.764573,5.435264,4.228349,2.756834,0.304797,0.0,0.0,1.7,0.2304489213782739,,Z,zs1,Z,0.004095436188407955,0.0037968415336407943,0.014784057818417093,0.0019801336373566638,0.005554651333118757
38,0.0,0.0,0.0,0.0,0.0,0.093342,0.389536,0.264978,0.376978,0.430486,0.987247,1.505448,2.216856,3.3769,5.549405,7.129859,8.319286,7.330507,6.750074,6.198277,6.643288,6.589043,6.760933,6.028903,5.356324,4.833606,5.425491,4.142132,2.80339,0.487504,0.010207,0.0,0.3,-0.5228787452803376,,Z,zs1,Z,0.00481957560700242,0.004423627975940889,0.016058866530055168,0.0020698173322617926,0.006536803612342332
39,0.0,0.0,0.0,0.0,0.0,0.222474,0.503168,0.415419,0.446688,0.650029,1.276772,1.822357,2.546824,3.485331,5.164686,6.175329,7.01003,6.204076,5.789244,5.445856,6.160811,6.426158,6.852031,6.414104,6.047377,5.528947,6.246538,4.937744,3.588912,0.632858,0.006236,0.0,0.2299999999999999,-0.6382721639824073,,Z,zs1,Z,0.003453047040886746,0.0024139518830911754,0.01925332059328705,0.0016514986802746404,0.004683377170732939
40,0.0,0.0,0.0,0.0,0.0,0.316252,0.637847,0.545304,0.51498,0.829259,1.849372,2.666304,3.508639,4.650889,6.670268,7.61739,8.152723,6.805218,6.091177,5.562712,6.059003,6.084507,6.260725,5.586021,4.886586,4.177874,4.459325,3.427339,2.360613,0.279676,0.0,0.0,0.33,-0.4814860601221125,,Z,zs1,Z,0.002906312072429018,0.0026374763393253375,0.012080791250796597,0.001885178847701058,0.003941839033720255
41,0.0,0.0,0.0,0.0,0.0,0.210566,0.462554,0.3292,0.430461,0.584788,1.4133,2.162687,2.9691,4.142859,6.263484,7.470606,8.186462,6.895427,6.231506,5.794211,6.470075,6.631017,6.89029,6.130518,5.30869,4.543169,4.840189,3.526502,1.957086,0.155253,0.0,0.0,0.34,-0.4685210829577448,,Z,zs1,Z,0.003626917213029716,0.003261638480458338,0.014052551888046246,0.0019417793005556186,0.004919197762008951
42,0.0,0.0,0.0,0.0,0.0,0.213859,0.475021,0.331792,0.428449,0.55528,1.429276,1.831248,2.626612,3.813795,5.81198,6.898019,7.666509,6.695709,6.239014,5.843349,6.494809,6.710598,7.105793,6.454621,5.658742,4.817605,5.181618,3.896886,2.53519,0.284227,0.0,0.0,0.39,-0.4089353929735008,,Z,zs1,Z,0.0037494992364952373,0.003120261036626047,0.016064111276630433,0.0018662753999309412,0.005085456096587921
43,0.0,0.0,0.0,0.0,0.0,0.281521,0.605046,0.329723,0.505633,0.634562,1.406325,2.218284,3.091992,4.221286,6.183374,7.097781,7.451447,6.100307,5.445786,5.000713,5.591622,5.926536,6.508632,6.293556,6.121195,5.588199,5.933782,4.164058,2.521859,0.744773,0.032009,0.0,0.21,-0.6777807052660807,,Z,zs1,Z,0.0030595227039474544,0.002409955608768732,0.016214642545146662,0.001657452675779598,0.004149639033393227
44,0.0,0.0,0.0,0.0,0.0,0.226538,0.413703,0.369976,0.440469,0.506758,1.290835,1.796176,2.500676,3.522117,5.303994,6.317225,7.018914,6.074416,5.68052,5.449879,6.228771,6.523303,7.011178,6.616983,6.230363,5.516077,5.967764,4.572448,3.221453,1.146606,0.052857,0.0,0.21,-0.6777807052660807,,Z,zs1,Z,0.0035999268954860484,0.0025456124737635684,0.019454041303977054,0.0016780487924526353,0.004882590720309805
45,0.0,0.0,0.0,0.0,0.369572,0.515839,0.870696,1.146982,1.409286,1.994705,6.481468,12.531116,15.370093,16.432584,16.877812,11.429867,6.552132,2.680429,1.485331,0.920923,1.072068,1.245838,0.598278,0.014983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-0.4814860601221125,,Z,zs3,Z,0.0017424066696184602,0.0017456973999209345,0.0026692613989358752,0.001727452724994193,0.002363230944148482
46,0.0,0.0,0.0,0.0,0.400621,0.597994,1.002315,1.306722,1.442642,1.746523,7.068149,13.531652,15.40913,15.635825,15.328637,10.609131,6.412021,3.354939,2.232034,1.324927,1.076215,1.096709,0.392178,0.031635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,-0.7695510786217261,,Z,zs3,Z,0.0016317686310911995,0.0016332728985302015,0.0026085220204516623,0.0012366182084788103,0.002213172269094875
47,0.0,0.0,0.0,0.0,0.0,0.2172,0.502829,0.393948,0.414189,0.663489,1.341714,2.521909,5.470404,10.497644,17.510654,20.565455,19.034288,11.371563,5.37166,1.411178,0.789387,1.210336,0.690389,0.021765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1760912590556812,,Z,zs1,Z,0.005489774766967105,0.005727444571327505,0.004636468474636845,0.0028408887184257587,0.007445796570867725
48,0.0,0.0,0.0,0.0,0.0,0.233301,0.525916,0.48835,0.395114,0.651939,1.175571,2.066658,5.234745,9.466199,17.271295,20.540935,19.544103,12.002618,5.945984,1.691398,0.741036,1.097336,0.867474,0.060028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.2304489213782739,,Z,zs1,Z,0.005761317925288339,0.0060244140631342405,0.004770671495372909,0.002848651976816723,0.007814091301142759
49,0.0,0.0,0.0,0.0,0.0,0.206079,0.355522,0.319394,0.340156,0.455182,1.092874,1.569084,2.264894,3.318779,5.210065,6.409907,7.251595,6.383958,6.119937,6.036186,6.908929,7.058559,7.404477,6.84692,6.273966,5.332625,5.454118,3.939876,2.592781,0.821571,0.032566,0.0,0.99,-0.00436480540245,,Z,zs1,Z,0.004367632342927718,0.0034284956562893407,0.018821954472849456,0.015047624744956746,0.005923831723928546
50,0.0,0.0,0.0,0.0,0.0,0.199125,0.349691,0.306898,0.35842,0.422076,1.395933,1.979608,2.771587,4.026166,6.262206,7.577446,8.327129,7.067553,6.495446,6.097642,6.752092,6.835976,7.040736,6.196831,5.322426,4.420542,4.471407,3.15647,1.957245,0.209347,0.0,0.0,0.39,-0.4089353929735008,,Z,zs1,Z,0.004035309078444268,0.0037065288414021586,0.014116373475948527,0.0020421992025712694,0.005473100768990395
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074978,0.223872,0.45483,1.042445,2.14656,3.601644,5.446996,8.527563,10.453379,11.942983,10.552906,9.662208,8.274314,7.46837,5.891634,4.479947,2.370156,0.967213,1.135568,1.892905,1.820637,1.275615,0.271288,0.021989,0.0,2.3,0.3617278360175928,,Z,zs1,Z,0.0055632237556948235,0.005711394245375385,0.00844461037022847,0.003102380536043093,0.007545415635695892
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004618,0.221975,0.35673,1.019184,1.829849,2.950977,4.651362,7.758451,9.955529,11.342331,9.612616,8.579926,7.827258,8.260333,7.552714,6.550571,4.29566,2.457743,1.803311,1.749852,1.018114,0.200897,0.0,0.0,0.0,2.1,0.3222192947339193,,Z,zs1,Z,0.005893156973809353,0.0061578185622689205,0.009572590398057657,0.0029379202147479092,0.007992904964189732
53,0.0,0.0,0.0,0.0,0.0,0.493193,0.454326,0.726416,0.54875,1.117541,2.845827,6.647452,10.330301,14.261451,18.500829,17.297319,13.455519,6.938253,3.191538,0.950111,0.627089,0.973742,0.610508,0.029835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.1760912590556812,,Z,zs2,Z,0.003304341910819941,0.003410457437865483,0.0036480708571925645,0.0018663647367805018,0.0044816879950341035
54,0.0,0.0,0.288089,2.196206,1.701194,3.18646,4.621832,7.299877,7.81944,7.858665,10.836183,9.79766,9.102139,9.038291,9.186071,6.317542,3.135515,1.131234,1.138665,1.309761,1.441383,1.341369,1.015498,0.227713,0.009213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013,-3.886056647693163,,K,ks4,L,6.338006891228786e-06,3.9939279010208266e-05,0.0013861215033659604,3.399327729803791e-05,8.596256127083125e-06
55,0.0,0.0,0.0,0.0,0.767265,1.607474,2.373553,3.405768,3.261187,3.942956,7.442387,9.029231,10.645591,12.658659,15.104376,12.474929,7.925124,3.438662,1.94066,1.245331,1.06254,1.021543,0.616355,0.036408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073,-2.136677139879544,,Z,zs3,Z,0.00020403027775203788,6.705342876581243e-05,0.002688940607385231,0.000769416887632532,0.0002767268252206632
56,0.0,0.0,0.0,0.0,0.164826,0.442486,0.652365,0.874464,0.814099,1.195881,2.753011,3.164337,5.464028,9.347326,17.010029,20.0743,18.383227,10.595007,4.946094,1.342974,0.675534,1.128211,0.909542,0.06226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,-0.1739251972991735,,Z,zs2,Z,0.003928820761368505,0.00398733900682608,0.004499082874614939,0.0026123936880049197,0.0053286703725211005
57,0.0,0.0,0.0,0.0,0.358818,0.876222,1.27262,1.634642,1.355694,1.558252,2.956228,3.494599,5.666843,9.163723,15.903445,18.479584,17.070203,10.25352,5.273695,1.811367,0.900194,1.107328,0.811638,0.051388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,-0.2291479883578557,,Z,zs2,Z,0.0021215313309164594,0.001973219177309039,0.0043806625494712285,0.00217393413583674,0.0028774387619281473
58,0.0,0.0,0.536094,2.059384,2.585844,5.666884,9.623364,13.701248,11.846155,10.585876,10.495183,5.541481,3.618167,3.456582,4.462661,4.67222,4.298485,2.832189,1.773115,0.565355,0.10349,0.494741,0.967559,0.113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-06,-5.4089353929735005,,K,ks4,L,2.46486219473438e-06,5.8194765655704576e-06,0.00046229318267799286,1.9035716472577562e-06,3.34309935402942e-06
59,0.0,0.0,0.0,0.0,0.114321,0.28475,0.505275,0.568617,0.380094,0.366975,0.774077,1.87227,3.109213,4.659513,7.438366,9.684079,12.263875,12.246636,12.33791,10.641236,8.562714,5.866766,4.009574,1.498108,0.05134,0.036009,0.731845,0.670293,0.134725,0.0,0.451411,0.740009,1.1,0.041392685158225,,Z,zs1,Z,0.005602492063496358,0.005578489789405162,0.00861911607850922,0.006309473139232958,0.007598675349251319
60,0.0,0.0,0.0,0.0,0.137449,0.420666,0.58706,0.620917,0.372038,0.345844,0.921714,2.870518,5.020219,7.522499,11.593137,13.925974,15.418082,13.039667,10.983384,7.509012,4.175806,1.858159,0.782354,0.069331,0.011766,0.515508,0.777266,0.443375,0.078255,0.0,0.0,0.0,2.3,0.3617278360175928,,Z,zs1,Z,0.004896231749122679,0.005019340092616327,0.005963778003820559,0.0035071159543439015,0.0066407725481116755
